Indicator;Country;2000_value;2000_notes;2000_source;2001_value;2001_notes;2001_source;2002_value;2002_notes;2002_source;2003_value;2003_notes;2003_source;2004_value;2004_notes;2004_source;2005_value;2005_notes;2005_source;2006_value;2006_notes;2006_source;2007_value;2007_notes;2007_source;2008_value;2008_notes;2008_source;2009_value;2009_notes;2009_source;2010_value;2010_notes;2010_source;2011_value;2011_notes;2011_source;2012_value;2012_notes;2012_source;2013_value;2013_notes;2013_source;2014_value;2014_notes;2014_source;2015_value;2015_notes;2015_source;2016_value;2016_notes;2016_source;2017_value;2017_notes;2017_source;2018_value;2018_notes;2018_source;2019_value;2019_notes;2019_source;2020_value;2020_notes;2020_source
Internet users (%);Turkey;3,76;Population age 16-74.;Türk Telekomünikasyon A.S.;5,19;Population age 16-74.;Türk Telekomünikasyon A.S.;11,38;Population age 16-74.;ITU estimate.;12,33;Population age 16-74.;ITU estimate.;14,58;Population age 16-74 in the last 12 months.;Eurostat.;15,46;Population age 16-74 in the last 12 months.;Eurostat.;18,24;Estimated based on % of Internet users as reported in surveys in 2005 and 2007.;Telecommunications Authority.;28,63;Population age 16-74 in the last 12 months.;Eurostat.;34,37;Population age 16-74 in the last 12 months.;Turkish Statistical Institution.;36,4;Population age 16-74 in the last 12 months.;Turkish Statistical Institution.;39,82;Population age 16-74 in the last 12 months.;Information and Communication Technologies Authority (ICTA);43,07;Population age 16-74 in the last 12 months.;Turkish Statistical Institute;45,13;Population age 16-74 in the last 12 months.;Turkish Statistical Institute;46,25;Population age 16-74 in the last 12 months.;Turkish Statistical Institute;51,04;Population age 16-74 in the last 12 months.;Eurostat.;53,74;In the last 12 months;Turkish Statistical Institute;58,35;In the last 3 months;Turkish Statistical Institute;64,68;In the last 3 months;Turkish Statistical Institute;71,04;;Turkish Statistical Institute;73,98;;Turkish Statistical Institute;77,67;;Turkish Statistical Institute
Internet users (%);Turkmenistan;0,13;;Ministry of Communications.;0,18;;Ministry of Communications.;0,3;;ITU estimate.;0,43;;ITU estimate.;0,75;;Ministry of Communications.;1;;ITU estimate.;1,32;;Ministry of Communications.;1,41;;Ministry of Communications.;1,75;;ITU estimate.;1,95;;ITU estimate.;3;;ITU estimate.;5;;ITU estimate.;7,2;;ITU estimate.;9,6;;ITU estimate.;12,2;;ITU estimate.;15;;ITU estimate.;17,99;;ITU Estimate.;21,25;;ITU estimate.;;;;;;;;;
Internet users (%);Turks & Caicos Is.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Internet users (%);Tuvalu;5,24;;;5,7;;ITU estimate. ;6,3;;ITU estimate. ;6,9;;ITU estimate. ;7,6;;ITU estimate. ;8,3;;ITU estimate. ;9,1;;ITU estimate. ;10;;ITU estimate. ;11,2;;ITU estimate. ;12,8;;ITU estimate. ;14,6;;ITU estimate. ;16,5;;ITU estimate. ;18,7;;ITU estimate.;21,2;;ITU estimate.;24,1;;ITU estimate.;27,3;;ITU estimate.;31;Population age 10+ in the last month.;Tuvalu Central Statistics Division;35,2;;ITU estimate.;;;;;;;;;
Internet users (%);Uganda;0,16;;;0,24;;;0,38;;;0,46;;;0,72;;;1,74;;;2,53;;;3,67;;Uganda Communications Commission (UCC).;3,88;;ITU estimate.;4,1;;ITU estimate.;4,3;;ITU estimate.;4,6;;ITU estimate.;4,8;;ITU estimate.;5,1;;ITU estimate.;5,4;;ITU estimate.;5,7;;ITU estimate.;6;;Uganda Bureau of Statistics;8,1;;ITU estimate.;10,9;;ITU estimate.;14,7;;ITU estimate.;19,9;;ITU estimate.
Internet users (%);Ukraine;0,72;;State Department of Communications & Information Technology.;1,24;;RCC.;1,87;;RCC.;3,15;;State Department of Communications & Information Technology.;3,49;;State Department of Communications & Information Technology.;3,75;Population age 15-59 who used the Internet in the last 4 weeks.;Estimate.;4,51;;State Department of Communications & Information Technology.;6,55;;State Statistics Committee of Ukraine;11;;State Statistics Committee of Ukraine;17,9;;State Service of Special Communications and Information Protection of Ukraine;23,3;;State Statistics Service of Ukraine;28,71;Refers to total population.;State Statistics Service of Ukraine;35,27;;State Statistics Service of Ukraine;40,95;All population;State Statistics Service of Ukraine;46,24;All population;State Statistics Service of Ukraine;48,88;In the last 12 months;State Statistics Service of Ukraine;53;;State Statistics Service of Ukraine;58,89;;State Statistics Service of Ukraine;62,55;;State Statistics Service of Ukraine;70,12;;State Statistics Service of Ukraine;75,04;;State Statistics Service of Ukraine
Internet users (%);United Arab Emirates;23,63;;Emirates Telecommunications Corporation (ETISALAT).;26,27;;Emirates Telecommunications Corporation (ETISALAT).;28,32;;Emirates Telecommunications Corporation (ETISALAT).;29,48;;Emirates Telecommunications Corporation (ETISALAT).;30,13;;Emirates Telecommunications Corporation (ETISALAT).;40;;ITU estimate. ;52;;ITU estimate. ;61;;ITU estimate. ;63;Refers to the total population. ;ITU estimate. ;64;Refers to the total population. ;ITU estimate. ;68;Refers to the total population. ;Telecommunications Regulatory Authority (TRA);78;Break in comparability. Population age 15-74 in the last 3 months (exc. population living in working camps).;ITU estimate based on TRA. ;85;Population age 15-74 in the last 3 months.;Telecommunications Regulatory Authority ;88;;ITU estimate.;90,4;Population age 15-74 in the last 3 months.;Telecommunications Regulatory Authority (TRA);90,5;;ITU estimate.;90,6;Reference period for computer & Internet  usage is 3 months only;Telecommunications Regulatory Authority ;94,82;"Estimated 94.82% individuals using the internet
Reference period for computer & Internet  usage is 3 months only (Age 15 to 74 yrs)";Federal Competitiveness and Statistics Authorithy;98,45;;Telecommunications Regulatory Authority ;99,15;;Telecommunications Regulatory Authority ;100;;Federal Competitiveness Statistics Centre
Internet users (%);United Kingdom;26,82;Population age 16+ using internet in the last 3 months.;ONS.;33,48;Population age 16+ using the Internet in the last 3 months.;ONS.;56,48;Population age 16-74 using Internet in the last 3 months.;Eurostat.;64,82;Population age 16-74.;Eurostat.;65,61;Population age 16-74.;Eurostat.;70;Population age 16-74.;Eurostat.;68,82;Population age 16-74.;Eurostat.;75,09;Population age 16-74.;Eurostat.;78,39;Population age 16-74.;Eurostat.;83,56;Population age 16-74.;Eurostat.;85;Population age 16-74.;Eurostat.;85,38; Users in the last 3 months. Age 16-74.;Eurostat.;87,48; Users in the last 3 months.;Eurostat;89,84;Population age 16-74.;Eurostat.;91,61;Population age 16-74.;Eurostat;92;Last 3 months. Population age 16-74.;Eurostat;94,78;Last 3 months. Population age 16-74.;Eurostat;90,42;Break in comparability. Population age 16+.;Office for National Statistics;90,69;Population age 16+.;Office for National Statistics;92,52;;Office for National Statistics;94,82;;Office for National Statistics
Internet users (%);United States;43,08;;ITU estimate.;49,08;;ITU estimate.;58,79;;ITU estimate.;61,7;;ITU estimate.;64,76;;ITU estimate.;67,97;;ITU estimate.;68,93;;ITU estimate.;75;;Federal Communications Commission;74;"Pew Internet Project, ""Internet, Broadband and cell phone statistics,” January 5, 2010, http://www.pewinternet.org/~/media//Files/Reports/2010/PIP_December09_update.pdf.  ";Federal Communications Commission;71;Populatio age 3+.;Federal Communications Commission;71,69;Populatio age 3+.;Federal Communications Commission;69,73;Populatio age 3+.;United States Census Bureau;74,7;Population age 3+.;US Census Bureau;71,4;Population age 3+.;US Census Bureau;73;;ITU estimate.;74,55;Persons 3 years old and over. Reference period is past six months.;US Census Bureau;85,54;;US Census Bureau;87,27;;US Census Bureau;88,5;;US Census Bureau;89,43;;US Census Bureau;90,9;;ITU estimate.
Internet users (%);Uruguay;10,54;;Administración Nacional de Telecomunicaciones (ANTEL).;11,12;;Administración Nacional de Telecomunicaciones (ANTEL).;11,42;;Administración Nacional de Telecomunicaciones (ANTEL).;15,94;;Administración Nacional de Telecomunicaciones (ANTEL).;17,06;;Administración Nacional de Telecomunicaciones (ANTEL).;20,09;;Administración Nacional de Telecomunicaciones (ANTEL).;29,4;;;34;Estimated based on Survey's results. Population age 6+.;ITU estimate.;39,3;Population age 6+.;Instituto Nacional de Estadística (INE).;41,8;Population age 6+.;Instituto Nacional de Estadística (INE).;46,4;Population age 6+.;Unidad Reguladora de Servicios de Comunicaciones;51,4;Population age 6+.;Instituto Nacional de Estadistica.;54,45;Population age 6+.;Instituto Nacional de Estadistica.;57,69;Population age 6+.;Instituto Nacional de Estadistica.;61,46;Population age 6+.;Instituto Nacional de Estadistica.;64,57;;Instituto Nacional de Estadistica ;66,4;;ITU Estimate.;70,32;;Instituto Nacional de Estadistica;80,73;;Instituto Nacional de Estadistica;83,35;;Instituto Nacional de Estadistica;86,1;;ITU estimate.
Internet users (%);Uzbekistan;0,48;;Communication and Information Agency of Uzbekistan.;0,6;;Communication and Information Agency of Uzbekistan.;1,08;;Communication and Information Agency of Uzbekistan.;1,91;;Communication and Information Agency of Uzbekistan.;2,59;;Communication and Information Agency of Uzbekistan.;3,34;;Communication and Information Agency of Uzbekistan.;6,39;;Communication and Information Agency of Uzbekistan.;7,49;;Communication and Information Agency of Uzbekistan.;9,08;;Communication and Information Agency of Uzbekistan.;11,9;;Communication and Information Agency of Uzbekistan.;15,9;;ITU estimate.;18,6;;Communication and Information Agency of Uzbekistan.;23,6;;ITU estimate.;26,8;;ITU estimate.;35,5;;ITU estimate.;42,8;;ITU estimate.;46,79;;ITU Estimate.;48,7;;State Committee of the Republic of Uzbekistan on Statistics ;55,2;;State Committee of the Republic of Uzbekistan on Statistics ;70,4;;State Committee of the Republic of Uzbekistan on Statistics ;71,1;;
Internet users (%);Vanuatu;2,11;;Vanuatu National Statistics Office.;2,83;;;3,51;;;3,9;;;4,75;;;5,08;;;5,85;;;6,8;;ITU estimate.;7,27;;Vanuatu National Statistics Office.;7,5;;ITU estimate. ;8;;Office of the Vanuatu Telecom Regulator;9,2;;ITU estimate. ;10,6;;ITU estimate.;11,3;;ITU estimate.;18,8;;ITU estimate.;22,35;;ITU estimate.;24;;ITU Estimate.;25,72;;ITU estimate.;;;;;;;;;
Internet users (%);Vatican;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Internet users (%);Venezuela;3,36;;Comisión Nacional de Telecomunicaciones (CONATEL).;4,64;;Comisión Nacional de Telecomunicaciones (CONATEL).;4,91;;Comisión Nacional de Telecomunicaciones (CONATEL).;7,5;;Comisión Nacional de Telecomunicaciones (CONATEL).;8,4;;Comisión Nacional de Telecomunicaciones (CONATEL).;12,55;;Comisión Nacional de Telecomunicaciones (CONATEL).;15,22;;Comisión Nacional de Telecomunicaciones (CONATEL).;20,83;;Comisión Nacional de Telecomunicaciones CONATEL;25,88;;Comisión Nacional de Telecomunicaciones CONATEL;32,7;Country estimate.;Comisión Nacional de Telecomunicaciones CONATEL;37,37;Country estimate.;Comisión Nacional de Telecomunicaciones;40,22;Preliminary. Country estimate.;Comisión Nacional de Telecomunicaciones;49,05;;Instituto Nacional de Estadística;54,9;;ITU estimate.;57;;ITU estimate.;58;;;60;;;61,6;;ITU estimate.;;;;;;;;;
Internet users (%);Viet Nam;0,25;;Vietnam Post & Telecommunications Corp. (VNPT).;1,27;;Vietnam Post & Telecommunications Corp. (VNPT).;1,85;;Vietnam Post & Telecommunications Corp. (VNPT).;3,78;;Vietnam Post & Telecommunications Corp. (VNPT).;7,64;;Ministry of Posts and Telematics (MPT).;12,74;;Ministry of Posts and Telematics (MPT).;17,25;;Ministry of Posts and Telematics (MPT).;20,76;;Business Monitor International Report.;23,92;;Ministry of Information and Communications;26,55;;VNNIC;30,65;;Ministry of Information and Communications;35,07;;Ministry of Information and Communications;36,8;;ITU estimate.;38,5;;ITU estimate.;41;;ITU estimate.;45;18+;ITU estimate.;53;18+;ITU Estimate.;58,14;;Ministry of Information and Communications;69,85;;Ministry of Information and Communications;68,66;;Ministry of Information and Communications;70,3;;Ministry of Information and Communications
Internet users (%);Virgin Islands (US);13,82;;Virgin Islands Telephone Corporation (Vitelco).;18,38;;Virgin Islands Telephone Corporation (Vitelco).;27,49;;Virgin Islands Telephone Corporation (Vitelco).;27,43;;ITU estimate.;27,38;;ITU estimate.;27,34;;ITU estimate.;27,33;;ITU estimate.;27,34;;Virgin Islands Telephone Corporation (Vitelco).;27,36;;ITU estimate.;27,4;;ITU estimate.;31,22;;ITU estimate.;35,6;;ITU estimate.;40,55;;ITU estimate.;45,3;;ITU estimate.;50,07;;ITU estimate.;54,84;;ITU estimate.;59,61;;ITU Estimate.;64,38;;ITU estimate.;;;;;;;;;
Internet users (%);Wallis and Futuna;4,77;;;5,09;;;5,42;;;5,74;;;6,06;;;6,7;;;7,33;;;7,95;;Service des Postes et Télécommunications;8,22;;ITU estimate.;6,76;;Service des Postes et Telecommunications;8,16;;Service des Postes et Telecommunications;8,68;;Service des Postes et Telecommunications;8,95;;ITU estimate.;;;;;;;;;;;;;;;;;;;;;;;;
Internet users (%);Yemen;0,08;;Ministry of Communications.;0,09;;Ministry of Communications.;0,52;;Ministry of Communications.;0,6;;Ministry of Telecommunications and Information Technology.;0,88;;;1,05;;ITU estimate.;1,25;;Ministry of Telecommunications and Information Technology.;5,01;;Ministry of Telecommunications and Information Technology.;6,89;;Ministry of Telecommunications and Information Technology;9,96;;Ministry of Telecommunications and Information Technology;12,35;;Ministry of Telecommunications and Information Technology;14,91;;ITU estimate.;17,45;;ITU estimate.;20;;ITU estimate.;22,55;;ITU estimate.;24,09;;ITU estimate.;24,58;;ITU Estimate.;26,72;;ITU estimate.;;;;;;;;;
Internet users (%);Zambia;0,19;;Zambia Telecommunications Company Limited (Zamtel).;0,23;;Zambia Telecommunications Company Limited (Zamtel).;0,48;;Communications Authority.;0,98;;Communications Authority.;1,1;;ITU estimate.;1,3;;ITU estimate.;1,6;;ITU estimate.;1,9;;ITU estimate.;2,2;;ITU estimate.;2,5;;ITU estimate.;3;;ITU estimate.;3,5;;ITU estimate.;4,1;;ITU estimate.;4,8;;ZICTA.;6,5;;ITU estimate.;8,8;ICT survey. Population age 11+;ZICTA;10,3;;ITU estimate.;12,2;;ITU estimate.;14,3;Population age 10+.;Central Statistical Office;16,8;;ITU estimate.;19,8;;ITU estimate.
Internet users (%);Zimbabwe;0,4;;PTC, ZISPA, ITU estimate.;0,8;;PTC, ZISPA, ITU estimate.;1,1;;ITU estimate.;1,8;;ITU estimate.;2,1;;ITU estimate.;2,4;;ITU estimate.;2,4;;ITU estimate.;3;;ITU estimate.;3,5;;ITU estimate.;4;;ITU estimate.;6,4;;ITU estimate.;8,4;;ITU estimate.;12;;ITU estimate.;15,5;;ITU estimate.;16,36;Population age 3+.;Zimbabwe National Statistics Agency (ZIMSTAT);22,74;;ITU estimate.;23,12;;ITU Estimate.;24,4;;ITU estimate.;25;;ITU estimate.;25,1;;ITU estimate.;29,3;;Zimbabwe National Statistics Agency (ZIMSTAT)
